bought,region,size,oldest,income,children,race,connection,hispanic
30.15,3,5,5,7,1,1,1,0
24.15,3,3,9,3,1,1,1,0
79.99,2,2,6,5,0,1,1,0
20.98,3,3,7,5,1,2,1,1
129.71,3,3,9,3,1,1,1,1
165.44,2,4,9,4,1,1,1,0
24.91,2,3,6,1,1,1,1,0
27.07,2,4,10,2,1,1,1,0
28.88,4,5,9,1,1,1,1,0
55.99,3,1,8,1,0,1,1,0
209.94,1,3,6,5,0,1,1,1
7.21,2,2,6,5,1,1,1,0
31.43,2,6,5,6,1,1,1,1
27.18,3,3,4,5,1,1,1,0
29.99,1,4,6,6,1,1,1,0
99.1,2,5,3,6,1,1,1,0
55.99,2,2,6,6,0,1,1,1
308.6,2,3,5,6,1,1,1,0
45.49,2,3,6,4,1,1,1,0
17.49,4,1,9,4,0,2,1,1
155.56,1,5,7,7,1,1,1,0
47.27,2,4,9,5,1,1,1,0
896.44,1,2,11,5,0,1,1,0
57.46,4,2,9,7,1,1,1,1
79.99,2,3,8,7,1,1,0,1
189.56,3,2,9,7,0,1,1,0
66.97,3,2,11,1,1,1,0,0
11.2,3,6,4,7,1,1,1,1
4.67,4,2,4,6,0,1,1,0
2136.47,3,4,8,6,1,1,1,0
15,4,3,7,5,1,1,1,0
49.25,3,2,11,6,0,1,1,0
409.99,4,4,4,4,1,1,1,1
79.97,2,5,8,4,1,1,1,0
53.85,3,4,10,4,1,1,1,0
483.6,2,2,11,5,0,1,1,0
3.98,4,2,11,7,0,1,1,1
421.38,1,2,11,7,0,1,1,0
220.5,3,2,5,5,0,1,1,1
37.37,3,2,10,7,1,1,1,1
125.71,2,3,8,7,1,1,1,0
39.68,3,2,8,7,0,1,1,0
37.63,3,2,8,5,0,1,1,0
577.45,1,2,6,6,1,1,1,0
272.73,4,5,4,6,1,1,1,0
122.86,4,4,7,4,1,1,1,0
198.23,4,5,3,5,1,1,1,0
67.49,1,3,11,7,1,1,1,0
48.88,2,3,7,7,1,1,1,0
158.87,4,5,9,2,1,1,1,1
38.57,1,3,4,5,1,1,1,0
16.77,4,5,8,4,1,1,1,0
130,3,3,4,2,1,1,0,0
29.95,1,4,7,7,1,1,1,0
119.86,2,4,7,5,1,1,1,0
26.94,4,2,7,7,1,1,1,0
73.85,4,3,3,5,1,1,1,0
237.27,3,2,8,1,0,1,1,0
39.98,2,3,3,4,1,1,1,0
21.57,4,2,4,5,1,1,1,0
114.58,2,2,8,3,0,2,1,0
78.29,1,3,5,6,1,1,1,0
27.5,1,1,6,5,0,1,0,0
37.93,4,4,10,4,1,1,1,0
159.99,4,3,9,6,1,1,1,0
277.67,3,6,7,6,1,1,1,0
59.95,3,1,11,1,0,1,0,0
10.02,4,4,6,5,1,1,1,0
32.76,2,1,6,2,0,1,1,0
65.68,4,2,5,3,1,1,1,1
62.79,4,4,9,6,1,1,1,0
16.99,4,5,8,5,1,1,0,1
42.99,4,1,8,5,0,1,0,0
38.99,1,2,9,4,0,1,0,0
21.4,3,6,8,5,1,2,1,0
34.99,3,2,6,4,0,1,1,0
36.94,4,2,7,7,1,1,1,0
10.17,3,6,10,5,1,1,1,0
25.49,4,1,7,4,0,1,0,1
152.19,4,3,3,5,1,1,1,0
6.06,4,2,7,1,0,1,1,1
148.38,3,2,7,4,0,1,1,0
38.33,2,2,8,5,0,1,1,0
1828.89,3,2,5,5,0,1,1,0
37.98,1,2,11,1,0,1,1,0
15.61,3,1,6,6,0,1,1,0
153.32,1,3,9,5,1,1,1,0
41.7,2,4,6,6,1,1,1,0
247.64,1,3,9,4,1,1,1,0
25.28,4,4,6,6,1,1,1,0
44.04,4,3,7,7,1,1,1,0
41.95,4,2,7,5,1,1,0,0
445.38,3,2,8,4,1,1,1,0
32.99,1,2,6,3,1,1,1,0
31.35,4,4,7,7,1,1,1,0
7.78,3,2,4,5,1,1,1,0
26.99,2,2,6,7,0,1,1,1
46.74,3,2,2,1,1,1,1,1
17.25,3,6,7,3,1,1,1,0
201.98,4,3,11,4,1,1,1,0
72.24,4,4,7,5,1,1,1,0
478.37,4,2,5,4,0,1,1,0
30.47,2,3,5,6,1,1,1,0
7,2,4,8,7,1,1,0,0
54.23,4,3,4,2,0,1,1,0
36.88,4,4,6,6,1,1,0,1
321.87,4,4,4,7,0,1,1,0
69.1,4,2,10,7,1,1,1,0
64.8,3,4,3,2,1,2,1,0
13.9,2,2,8,1,0,1,1,1
51.33,4,4,5,7,1,1,1,0
35.94,3,3,9,3,1,1,1,0
32.97,2,2,6,2,0,1,1,0
243.54,2,2,8,7,1,1,1,0
71.96,1,4,6,7,1,1,1,0
77.7,4,3,8,7,1,1,1,0
35.42,3,2,4,3,0,1,1,0
39.45,1,5,8,5,1,1,1,1
34.95,4,2,11,7,0,1,1,0
359.53,2,2,4,6,1,1,1,0
31.97,3,2,11,2,1,1,1,1
41.98,4,4,6,3,1,1,1,0
28.88,4,2,5,5,0,1,1,0
213.34,4,3,4,5,0,1,1,0
15.06,4,3,6,7,1,1,1,1
16.68,3,4,9,7,1,1,1,1
48,3,3,8,6,1,1,1,0
9.99,3,6,5,6,1,1,1,0
7.99,2,3,6,7,1,1,1,0
19.99,3,3,9,5,1,1,1,0
82.01,1,2,4,3,0,1,1,0
6,1,3,10,7,1,1,1,1
46.13,3,2,8,6,0,1,1,0
243.92,1,2,11,4,0,1,1,1
19.01,2,6,5,7,1,1,1,0
96.59,2,2,4,7,0,1,1,0
21,2,2,8,4,1,2,1,0
43.67,3,2,7,7,0,1,1,0
2.95,1,3,9,7,1,1,1,1
108.44,4,2,11,2,0,1,0,1
100.61,2,2,8,5,0,1,1,0
33.6,3,3,7,7,1,1,1,0
28,3,2,5,7,0,1,1,1
139.15,2,3,10,4,1,1,1,0
96.33,3,4,10,4,1,1,1,0
154.59,3,6,4,6,1,1,1,0
392.32,4,1,3,1,0,1,1,0
46.84,4,2,8,5,0,1,1,0
100.57,3,3,6,7,1,2,1,0
264.04,1,6,11,3,1,1,1,0
131.92,4,3,7,5,1,1,1,1
11.19,2,2,11,4,1,1,1,0
139.89,2,3,7,7,1,1,1,0
7.46,4,2,5,7,1,1,1,1
77.54,4,4,3,1,1,1,1,1
144.99,2,2,10,6,0,1,1,0
108.05,3,2,11,1,0,1,1,0
51.73,3,2,9,5,0,1,1,0
77.96,3,6,8,7,1,1,1,0
34.72,3,4,6,7,1,1,1,0
490.45,1,3,8,7,1,1,1,0
228.22,4,2,10,2,0,1,1,1
26.96,3,5,9,5,1,1,1,0
4.99,2,6,5,1,1,1,1,1
9.71,2,2,3,2,1,1,1,1
28.64,2,5,7,7,1,1,1,1
